Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Work category),Custom field ([CHART] Date of First Response),Comment,Status Category
Check if the calendar component allows 10 years forward and backward to select the dates.,RET-88,10094,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000jz:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if today’s date is highlighted or not for the default selection of the date box.,RET-87,10093,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000jr:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if the calendar component allows scrolling month field forward and backward.,RET-86,10092,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000jj:,,,,,RET Sprint 1,,,,,,,,,,,,Done
"Check on click out side of the date picker, the date picker is closing or not.",RET-85,10091,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000jb:,,,,,RET Sprint 1,,,,,,,,,,,,Done
"Check on selecting the date from the date picker, the date picker is closed or not.",RET-84,10090,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000j3:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if the calendar component loads properly after a click on any date box.,RET-83,10089,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000iv:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check the user is able to select the date from the date picker.,RET-82,10088,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:36 AM,21/Feb/22 9:56 AM,18/Feb/22 9:36 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000in:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check the calendar component is active when the date boxes are clicked.,RET-81,10087,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000if:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if Add Tracnsaction buttons adds to the trasaction,RET-80,10086,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:36 AM,21/Feb/22 9:56 AM,18/Feb/22 9:36 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000i7:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if only numberic Value is allowed in Amount field,RET-79,10085,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 2:37 PM,18/Feb/22 2:37 PM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to Transactions tab.
* Fill Amount field with alphanumeric values.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

!image-20220218-052208.png|width=434,height=86!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,RET-117,,,,,,,,,,18/Feb/22 10:52 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-052208.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10010/image-20220218-052208.png,,,,,,,{},,,,0|i000hz:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check if Cheque Payee Name doesn't submits black space.,RET-78,10084,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 10:04 AM,18/Feb/22 2:38 PM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to Payment Details tab.
* Fill Cheque Payee Name with a blank space.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

!image-20220218-042605.png|width=932,height=70!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-1,,,,,,,,,,,,18/Feb/22 9:56 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-042605.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10004/image-20220218-042605.png,,,,,,,{},,,,0|i000hr:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check if Cheque Payee Name accepts only alphabets,RET-77,10083,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 2:39 PM,18/Feb/22 2:38 PM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to Payment Details tab.
* Fill Cheque Payee Name with numeric values.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

!image-20220218-042605.png|width=932,height=70!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,18/Feb/22 2:39 PM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-042605.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10016/image-20220218-042605.png,,,,,,,{},,,,0|i000hj:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check if after clicking radio buttons the method type changes,RET-76,10082,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:36 AM,21/Feb/22 9:56 AM,18/Feb/22 9:36 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000hb:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if radio buttons under Payment Method are clickable.,RET-75,10081,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000h3:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if Commission field accepts only numeric data.,RET-74,10080,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 2:40 PM,18/Feb/22 2:39 PM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to Payment Details tab.
* Fill Cheque Payee Name with a blank space.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

!image-20220218-045433.png|width=475,height=114!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,RET-115,,,,,,,,,,18/Feb/22 10:24 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-045433.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10007/image-20220218-045433.png,,,,,,,{},,,,0|i000gv:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check if all the required list are present in the dropdown.,RET-73,10079,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000gn:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if dropdown of Region field is showing the list,RET-72,10078,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000gf:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if all the required list are present in the dropdown.,RET-71,10077,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000g7:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if dropdown of Country field is showing the list,RET-70,10076,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:39 AM,21/Feb/22 9:56 AM,18/Feb/22 9:39 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000fz:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if only numberic Value is allowed in Postcode,RET-69,10075,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 2:40 PM,18/Feb/22 2:40 PM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Postcode field with alphanumeric input.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

!image-20220218-052713.png|width=410,height=102!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,RET-118,,,,,,,,,,,,,,18/Feb/22 10:57 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-052713.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10011/image-20220218-052713.png,,,,,,,{},,,,0|i000fr:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check if alphanumeric string is allowed in City field,RET-68,10074,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000fj:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if alphanumeric string is allowed in Address 2 field,RET-67,10073,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000fb:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if alphanumeric string is allowed in Address 1 field,RET-66,10072,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000f3:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if valid website is entered in Website field,RET-65,10071,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:30 AM,18/Feb/22 2:41 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000ev:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check if alphanumeric string is allowed in Website field,RET-64,10070,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:39 AM,21/Feb/22 9:56 AM,18/Feb/22 9:39 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000en:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if alphanumeric string is allowed in Company field,RET-63,10069,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000ef:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if the status dropdown contains all the required fields.,RET-62,10068,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000e7:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if the status dropdown is working or not,RET-61,10067,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000dz:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if the confirm password field matchs with the password field.,RET-60,10066,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000dr:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check the password field by entering the space.,RET-59,10065,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 2:47 PM,18/Feb/22 2:43 PM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Password and Confirm Password fields with blank spaces.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

!image-20220218-091646.png|width=692,height=147!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,18/Feb/22 2:46 PM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-091646.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10017/image-20220218-091646.png,,,,,,,{},,,,0|i000dj:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check that when the user types the password it gets encrypted or not.,RET-58,10064,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000db:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check that user is able to enter the password in the text box,RET-57,10063,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000d3:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify tracking code field should accept alphanumeric value,RET-56,10062,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000cv:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify correct mobile number is saved in the database or not by click on the Save or Next button.,RET-55,10061,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000cn:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify by adding only the spaces in the Telephone Field.,RET-54,10060,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 11:29 AM,18/Feb/22 11:08 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Telephone field with only Spaces.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

* !image-20220218-053919.png|width=453,height=126!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,RET-120,,,,,,,,,,,,,,18/Feb/22 11:11 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-053919.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10013/image-20220218-053919.png,,,,,,,{},,,,0|i000cf:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
